feature,importance
rule_based_churn_risk_score,0.3486516871329104
total_intl_calls,0.08051151105023462
customer_value_segment_low_value,0.07447846220686463
total_day_charge,0.06835094486676453
total_day_minutes,0.04976724528054693
international_plan,0.04860030392664489
total_intl_charge,0.03637486865124855
total_eve_minutes,0.03514824107233336
rule_based_churn_risk_level_low,0.03451095217560356
usage_intensity_high_usage,0.03341970530569902
total_eve_charge,0.03103856549162176
total_intl_minutes,0.028438264115916954
usage_intensity_low_usage,0.02014531747324499
total_night_calls,0.012002625454510321
number_vmail_messages,0.011903420022225015
total_night_minutes,0.011163398279399972
total_day_calls,0.009482453286686354
state_TX,0.007983659427882664
account_length,0.007736790040828161
total_eve_calls,0.0047216017516238
customer_service_calls,0.004537150932685965
voice_mail_plan,0.003909008803424176
total_night_charge,0.00385843310418192
customer_value_segment_high_value,0.003354006395323443
state_CT,0.00308273533840639
state_NJ,0.0026406335668917444
state_DC,0.002392550595642104
state_OR,0.002250260686169673
state_OH,0.0014984393945294038
state_ND,0.0014144880992392002
state_MS,0.0012539540965106
state_MA,0.0012226262438211283
state_MD,0.0011735071893114667
state_IN,0.00105401980141957
state_MT,0.0010495141660697236
high_service_calls,0.000979970985935621
area_code_408,0.0009147272541402171
rule_based_churn_risk_level_medium,0.0008767839465957031
state_VA,0.0008200403965648968
state_WY,0.0007958469890924422
state_NE,0.000774562460001189
state_MI,0.0006864206857812952
state_ME,0.0006789979921425651
customer_value_segment_medium_value,0.0006640758279678585
state_ID,0.0006500728879443793
state_SC,0.0003630137929423941
state_AR,0.0003446726854648481
state_RI,0.0003407337040349946
state_GA,0.0003302310916412644
usage_intensity_medium_usage,0.0003174529000817701
state_CA,0.00025014500501955856
state_IL,0.0001908257542326747
state_MN,0.00018972834392293788
state_AZ,0.00017600892379147603
state_TN,0.00013064458789856448
state_VT,8.76483064359804e-05
state_NV,8.53178945840387e-05
state_WA,7.604323236879293e-05
state_HI,5.768019169768395e-05
state_DE,5.204128409366326e-05
area_code_510,4.496744920602564e-05
state_AK,0.0
state_CO,0.0
state_AL,0.0
state_FL,0.0
state_IA,0.0
state_NH,0.0
state_NC,0.0
state_MO,0.0
state_KY,0.0
state_KS,0.0
state_LA,0.0
state_NY,0.0
state_NM,0.0
state_UT,0.0
state_SD,0.0
state_OK,0.0
state_PA,0.0
state_WI,0.0
state_WV,0.0
rule_based_churn_risk_level_high,0.0
area_code_415,0.0
